Normal Distribution w/ Mean of 6000, Standard Deviation of 1000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p37:	6250	37721
p38:	5811	28785
p39:	4486	5762
p40:	7322	58766
p41:	7934	68084
p42:	7252	57007
p43:	7041	53561
p44:	5303	16158
p45:	6537	41798
p46:	6694	48285
p47:	6541	43471
p48:	4031	2360
p49:	6354	38510
Total Elapsed Time:	78568
Average Wait Time:	30338

SRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	4760	12618
p1:	5592	99629
p2:	7612	268485
p3:	6399	165315
p4:	7382	253530
p5:	6052	128193
p6:	5095	46105
p7:	7870	283583
p8:	4339	0
p9:	5311	66695
p10:	6075	133995
p11:	7473	260562
p12:	6097	139970
p13:	5107	50850
p14:	5771	110200
p15:	7164	231242
p16:	6584	197246
p17:	5339	71606
p18:	6534	170964
p19:	5392	76845
p20:	6745	210324
p21:	4248	7720
p22:	5034	30136
p23:	5525	93004
p24:	5453	81987
p25:	5961	121232
p26:	6194	145367
p27:	5514	87290
p28:	5629	103871
p29:	4875	24911
p30:	7736	274697
p31:	6882	216519
p32:	4497	20264
p33:	6570	189826
p34:	5070	39635
p35:	5065	34520
p36:	5235	54807
p37:	6250	151011
p38:	5811	114771
p39:	4486	15428
p40:	7322	244408
p41:	7934	289753
p42:	7252	237056
p43:	7041	222801
p44:	5303	59642
p45:	6537	176148
p46:	6694	202330
p47:	6541	182585
p48:	4031	2339
p49:	6354	156661
Total Elapsed Time:	300237
Average Wait Time:	131173

SRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	4760	0
p1:	5592	4345
p2:	7612	64050
p3:	6399	36197
p4:	7382	61621
p5:	6052	29216
p6:	5095	0
p7:	7870	68853
p8:	4339	0
p9:	5311	14607
p10:	6075	30887
p11:	7473	62591
p12:	6097	31093
p13:	5107	12995
p14:	5771	24916
p15:	7164	55227
p16:	6584	47446
p17:	5339	17902
p18:	6534	40812
p19:	5392	18565
p20:	6745	49253
p21:	4248	0
p22:	5034	8146
p23:	5525	22941
p24:	5453	18963
p25:	5961	29286
p26:	6194	34218
p27:	5514	19018
p28:	5629	23507
p29:	4875	7320
p30:	7736	63418
p31:	6882	49164
p32:	4497	3698
p33:	6570	42494
p34:	5070	8287
p35:	5065	8045
p36:	5235	12480
p37:	6250	35612
p38:	5811	23982
p39:	4486	2810
p40:	7322	55596
p41:	7934	68564
p42:	7252	54898
p43:	7041	52680
p44:	5303	12660
p45:	6537	40496
p46:	6694	46983
p47:	6541	41362
p48:	4031	2339
p49:	6354	35340
Total Elapsed Time:	78568
Average Wait Time:	29897

LRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	4760	294933
p1:	5592	294066
p2:	7612	292019
p3:	6399	293170
p4:	7382	292150
p5:	6052	293411
p6:	5095	294303
p7:	7870	291513
p8:	4339	294951
p9:	5311	293941
p10:	6075	293139
p11:	7473	291707
p12:	6097	293018
p13:	5107	293942
p14:	5771	293239
p15:	7164	291815
p16:	6584	292340
p17:	5339	293514
p18:	6534	292286
p19:	5392	293362
p20:	6745	291981
p21:	4248	294391
p22:	5034	293561
p23:	5525	293032
p24:	5453	293052
p25:	5961	292501
p26:	6194	292222
p27:	5514	292842
p28:	5629	292680
p29:	4875	293369
p30:	7736	290498
p31:	6882	291295
p32:	4497	293595
p33:	6570	291503
p34:	5070	292927
p35:	5065	292881
p36:	5235	292665
p37:	6250	291617
p38:	5811	292000
p39:	4486	293255
p40:	7322	290414
p41:	7934	289753
p42:	7252	290383
p43:	7041	290537
p44:	5303	292198
p45:	6537	290934
p46:	6694	290731
p47:	6541	290831
p48:	4031	293257
p49:	6354	290914
Total Elapsed Time:	3277767
Average Wait Time:	292492

LRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	4760	70239
p1:	5592	69359
p2:	7612	67297
p3:	6399	68454
p4:	7382	67425
p5:	6052	68701
p6:	5095	69605
p7:	7870	66789
p8:	4339	70259
p9:	5311	69240
p10:	6075	68428
p11:	7473	66985
p12:	6097	68311
p13:	5107	69243
p14:	5771	68534
p15:	7164	67091
p16:	6584	67620
p17:	5339	68812
p18:	6534	67573
p19:	5392	68660
p20:	6745	67261
p21:	4248	69700
p22:	5034	68865
p23:	5525	68327
p24:	5453	68349
p25:	5961	67798
p26:	6194	67510
p27:	5514	68138
p28:	5629	67976
p29:	4875	68674
p30:	7736	65768
p31:	6882	66572
p32:	4497	68901
p33:	6570	66787
p34:	5070	68230
p35:	5065	68184
p36:	5235	67965
p37:	6250	66906
p38:	5811	67297
p39:	4486	68562
p40:	7322	65684
p41:	7934	65023
p42:	7252	65651
p43:	7041	65818
p44:	5303	67498
p45:	6537	66223
p46:	6694	66011
p47:	6541	66115
p48:	4031	68566
p49:	6354	66204
