Normal Distribution w/ Mean of 6000, Standard Deviation of 1000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
SJF (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	555	0
p1:	5398	66712
p2:	3313	29024
p3:	3454	32287
p4:	3583	35691
p5:	1627	7083
p6:	9989	185214
p7:	6509	108841
p8:	6208	83690
p9:	7475	142785
p10:	154	55
p11:	2769	16652
p12:	4169	42540
p13:	89	59
p14:	778	98
p15:	8293	157874
p16:	6424	101967
p17:	4505	46459
p18:	1871	8060
p19:	10935	205067
p20:	10514	194503
p21:	9250	165867
p22:	6222	89198
p23:	7168	134917
p24:	6247	95320
p25:	5125	55120
p26:	268	276
p27:	5267	60145
p28:	1355	3126
p29:	3033	21382
p30:	6118	76472
p31:	3259	24315
p32:	115	244
p33:	1452	4231
p34:	649	394
p35:	3666	37724
p36:	135	159
p37:	6858	120411
p38:	4556	49914
p39:	2104	10753
p40:	6948	127119
p41:	1067	1409
p42:	716	643
p43:	6561	113550
p44:	9347	173967
p45:	2395	12557
p46:	5812	69860
p47:	7914	148360
p48:	1872	8431
p49:	2861	17521
Total Elapsed Time:	217452
Average Wait Time:	61760

SJF (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	555	0
p1:	5398	0
p2:	3313	0
p3:	3454	0
p4:	3583	9254
p5:	1627	4230
p6:	9989	42797
p7:	6509	24438
p8:	6208	18180
p9:	7475	32354
p10:	154	55
p11:	2769	6135
p12:	4169	9985
p13:	89	59
p14:	778	98
p15:	8293	36333
p16:	6424	22911
p17:	4505	10911
p18:	1871	3914
p19:	10935	46765
p20:	10514	44376
p21:	9250	37415
p22:	6222	18921
p23:	7168	30147
p24:	6247	20878
p25:	5125	12205
p26:	268	276
p27:	5267	13404
p28:	1355	2059
p29:	3033	6102
p30:	6118	16093
p31:	3259	6952
p32:	115	244
p33:	1452	1954
p34:	649	394
p35:	3666	8039
p36:	135	159
p37:	6858	26475
p38:	4556	11137
p39:	2104	3498
p40:	6948	28135
p41:	1067	1363
p42:	716	643
p43:	6561	24093
p44:	9347	38079
p45:	2395	3857
p46:	5812	13966
p47:	7914	32833
p48:	1872	2656
p49:	2861	4478
Total Elapsed Time:	59150
Average Wait Time:	13585

SRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	555	0
p1:	5398	66712
p2:	3313	29024
p3:	3454	32287
p4:	3583	35691
p5:	1627	7083
p6:	9989	185214
p7:	6509	108841
p8:	6208	83690
p9:	7475	142785
p10:	154	55
p11:	2769	16652
p12:	4169	42540
p13:	89	59
p14:	778	616
p15:	8293	157874
p16:	6424	101967
p17:	4505	46459
p18:	1871	8060
p19:	10935	205067
p20:	10514	194503
p21:	9250	165867
p22:	6222	89198
p23:	7168	134917
p24:	6247	95320
p25:	5125	55120
p26:	268	0
p27:	5267	60145
p28:	1355	3126
p29:	3033	21382
p30:	6118	76472
p31:	3259	24315
p32:	115	0
p33:	1452	4231
p34:	649	394
p35:	3666	37724
p36:	135	0
p37:	6858	120411
p38:	4556	49914
p39:	2104	10753
p40:	6948	127119
p41:	1067	1409
p42:	716	643
p43:	6561	113550
p44:	9347	173967
p45:	2395	12557
p46:	5812	69860
p47:	7914	148360
p48:	1872	8431
p49:	2861	17521
Total Elapsed Time:	217472
Average Wait Time:	61757

SRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	555	0
p1:	5398	13560
p2:	3313	3836
p3:	3454	5987
p4:	3583	7539
p5:	1627	0
p6:	9989	42409
p7:	6509	24866
p8:	6208	18608
p9:	7475	32613
p10:	154	0
p11:	2769	1609
p12:	4169	8991
p13:	89	0
p14:	778	0
p15:	8293	36034
p16:	6424	22612
p17:	4505	9658
p18:	1871	170
p19:	10935	47193
p20:	10514	44077
p21:	9250	37843
p22:	6222	19180
p23:	7168	30575
p24:	6247	20490
p25:	5125	10919
p26:	268	0
p27:	5267	13663
p28:	1355	0
p29:	3033	4020
p30:	6118	15794
p31:	3259	5699
p32:	115	0
p33:	1452	990
p34:	649	0
p35:	3666	6753
p36:	135	0
p37:	6858	26087
p38:	4556	9422
p39:	2104	1416
p40:	6948	27836
p41:	1067	249
p42:	716	0
p43:	6561	24352
p44:	9347	38338
p45:	2395	1842
p46:	5812	13578
p47:	7914	32445
p48:	1872	416
p49:	2861	2478
Total Elapsed Time:	59150
Average Wait Time:	13282

LRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	555	216353
p1:	5398	211484
p2:	3313	213511
p3:	3454	213321
p4:	3583	213143
p5:	1627	215038
p6:	9989	206660
p7:	6509	210081
p8:	6208	210328
p9:	7475	209020
p10:	154	216252
p11:	2769	213601
p12:	4169	212159
p13:	89	216164
p14:	778	215433
p15:	8293	207904
p16:	6424	209715
p17:	4505	211574
p18:	1871	214145
p19:	10935	205067
p20:	10514	205437
p21:	9250	206648
p22:	6222	209615
p23:	7168	208626
p24:	6247	209491
p25:	5125	210556
p26:	268	215339
p27:	5267	210316
p28:	1355	214158
p29:	3033	212439
p30:	6118	209317
p31:	3259	212114
p32:	115	215189
p33:	1452	213812
p34:	649	214560
p35:	3666	211511
p36:	135	214970
p37:	6858	208234
p38:	4556	210474
p39:	2104	212864
p40:	6948	207995
p41:	1067	213795
p42:	716	214094
p43:	6561	208230
p44:	9347	205403
p45:	2395	212274
p46:	5812	208822
p47:	7914	206682
p48:	1872	212645
p49:	2861	211610
Total Elapsed Time:	2372782
Average Wait Time:	211363

LRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	555	53747
p1:	5398	48860
p2:	3313	50893
p3:	3454	50707
p4:	3583	50529
p5:	1627	52427
p6:	9989	44021
p7:	6509	47452
p8:	6208	47699
p9:	7475	46384
p10:	154	53648
p11:	2769	50986
p12:	4169	49540
p13:	89	53562
p14:	778	52825
p15:	8293	45265
p16:	6424	47089
p17:	4505	48952
p18:	1871	51533
p19:	10935	42428
p20:	10514	42795
p21:	9250	44012
p22:	6222	46991
p23:	7168	45993
p24:	6247	46860
p25:	5125	47933
p26:	268	52734
p27:	5267	47690
p28:	1355	51549
p29:	3033	49823
p30:	6118	46692
p31:	3259	49503
p32:	115	52586
p33:	1452	51202
p34:	649	51954
p35:	3666	48890
p36:	135	52367
p37:	6858	45601
p38:	4556	47856
p39:	2104	50251
p40:	6948	45362
p41:	1067	51186
p42:	716	51487
p43:	6561	45597
p44:	9347	42763
p45:	2395	49660
p46:	5812	46201
p47:	7914	44047
p48:	1872	50033
p49:	2861	48995
Total Elapsed Time:	2070603
Average Wait Time:	48743

------------------------

All Values 3000 cycles
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	3000	0
p1:	3000	2950
p2:	3000	5900
p3:	3000	8850
p4:	3000	11800
p5:	3000	14750
p6:	3000	17700
p7:	3000	20650
p8:	3000	23600
p9:	3000	26550
p10:	3000	29500
p11:	3000	32450
p12:	3000	35400
p13:	3000	38350
p14:	3000	41300
p15:	3000	44250
p16:	3000	47200
p17:	3000	50150
p18:	3000	53100
p19:	3000	56050
p20:	3000	59000
p21:	3000	61950
p22:	3000	64900
p23:	3000	67850
p24:	3000	70800
p25:	3000	73750
p26:	3000	76700
p27:	3000	79650
p28:	3000	82600
p29:	3000	85550
p30:	3000	88500
p31:	3000	91450
p32:	3000	94400
p33:	3000	97350
p34:	3000	100300
p35:	3000	103250
p36:	3000	106200
p37:	3000	109150
p38:	3000	112100
p39:	3000	115050
p40:	3000	118000
p41:	3000	120950
p42:	3000	123900
p43:	3000	126850
p44:	3000	129800
p45:	3000	132750
p46:	3000	135700
p47:	3000	138650
p48:	3000	141600
p49:	3000	144550
Total Elapsed Time:	150500
Average Wait Time:	72275

FIFO (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	3000	0
p1:	3000	0
p2:	3000	0
p3:	3000	0
p4:	3000	2800
p5:	3000	2800
p6:	3000	2800
p7:	3000	2800
p8:	3000	5600
p9:	3000	5600
p10:	3000	5600
p11:	3000	5600
p12:	3000	8400
p13:	3000	8400
p14:	3000	8400
p15:	3000	8400
p16:	3000	11200
p17:	3000	11200
p18:	3000	11200
p19:	3000	11200
p20:	3000	14000
p21:	3000	14000
p22:	3000	14000
p23:	3000	14000
p24:	3000	16800
p25:	3000	16800
p26:	3000	16800
p27:	3000	16800
p28:	3000	19600
p29:	3000	19600
p30:	3000	19600
p31:	3000	19600
p32:	3000	22400
p33:	3000	22400
p34:	3000	22400
p35:	3000	22400
p36:	3000	25200
p37:	3000	25200
p38:	3000	25200
p39:	3000	25200
p40:	3000	28000
p41:	3000	28000
p42:	3000	28000
p43:	3000	28000
p44:	3000	30800
p45:	3000	30800
p46:	3000	30800
p47:	3000	30800
p48:	3000	33600
p49:	3000	33600
Total Elapsed Time:	39550
Average Wait Time:	16128

RR (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	3000	132759
p1:	3000	136759
p2:	3000	138359
p3:	3000	139559
p4:	3000	140259
p5:	3000	140959
p6:	3000	141559
p7:	3000	141859
p8:	3000	142159
p9:	3000	142459
p10:	3000	142759
p11:	3000	143059
p12:	3000	143359
p13:	3000	143459
p14:	3000	143559
p15:	3000	143659
p16:	3000	143759
p17:	3000	143859
p18:	3000	143959
p19:	3000	144059
p20:	3000	144159
p21:	3000	144259
p22:	3000	144359
p23:	3000	144459
p24:	3000	144559
p25:	3000	144609
p26:	3000	144609
p27:	3000	144609
p28:	3000	144609
p29:	3000	144609
p30:	3000	144609
p31:	3000	144609
p32:	3000	144609
p33:	3000	144609
p34:	3000	144609
p35:	3000	144609
p36:	3000	144609
p37:	3000	144609
p38:	3000	144609
p39:	3000	144609
p40:	3000	144609
p41:	3000	144609
p42:	3000	144609
p43:	3000	144609
p44:	3000	144609
p45:	3000	144609
p46:	3000	144609
p47:	3000	144609
p48:	3000	144609
p49:	3000	144609
Total Elapsed Time:	180000
Average Wait Time:	143384

RR (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	3000	27259
p1:	3000	28009
p2:	3000	28609
p3:	3000	29259
p4:	3000	30009
p5:	3000	30509
p6:	3000	30809
p7:	3000	31109
p8:	3000	31409
p9:	3000	31559
p10:	3000	31759
p11:	3000	31909
p12:	3000	32059
p13:	3000	32159
p14:	3000	32259
p15:	3000	32309
p16:	3000	32409
p17:	3000	32459
p18:	3000	32509
p19:	3000	32559
p20:	3000	32659
p21:	3000	32659
p22:	3000	32659
p23:	3000	32709
p24:	3000	32709
p25:	3000	32759
p26:	3000	32759
p27:	3000	32759
p28:	3000	32759
p29:	3000	32759
p30:	3000	32759
p31:	3000	32709
p32:	3000	32709
p33:	3000	32709
p34:	3000	32659
p35:	3000	32659
p36:	3000	32659
p37:	3000	32609
p38:	3000	32609
p39:	3000	32559
p40:	3000	32559
p41:	3000	32509
p42:	3000	32459
p43:	3000	32409
p44:	3000	32409
p45:	3000	32359
p46:	3000	32309
p47:	3000	32259
p48:	3000	32259
p49:	3000	32209
Total Elapsed Time:	67600
Average Wait Time:	31970

SJF (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	3000	0
p1:	3000	2950
p2:	3000	5900
p3:	3000	8850
p4:	3000	11800
p5:	3000	14750
p6:	3000	17700
p7:	3000	20650
p8:	3000	23600
p9:	3000	26550
p10:	3000	29500
p11:	3000	32450
p12:	3000	35400
p13:	3000	38350
p14:	3000	41300
p15:	3000	44250
p16:	3000	47200
p17:	3000	50150
p18:	3000	53100
p19:	3000	56050
p20:	3000	59000
p21:	3000	61950
p22:	3000	64900
p23:	3000	67850
p24:	3000	70800
p25:	3000	73750
p26:	3000	76700
p27:	3000	79650
p28:	3000	82600
p29:	3000	85550
p30:	3000	88500
p31:	3000	91450
p32:	3000	94400
p33:	3000	97350
p34:	3000	100300
p35:	3000	103250
p36:	3000	106200
p37:	3000	109150
p38:	3000	112100
p39:	3000	115050
p40:	3000	118000
p41:	3000	120950
p42:	3000	123900
p43:	3000	126850
p44:	3000	129800
p45:	3000	132750
p46:	3000	135700
p47:	3000	138650
p48:	3000	141600
p49:	3000	144550
Total Elapsed Time:	150500
Average Wait Time:	72275

SJF (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	3000	0
p1:	3000	0
p2:	3000	0
p3:	3000	0
p4:	3000	2800
p5:	3000	2800
p6:	3000	2800
p7:	3000	2800
p8:	3000	5600
p9:	3000	5600
p10:	3000	5600
p11:	3000	5600
p12:	3000	8400
p13:	3000	8400
p14:	3000	8400
p15:	3000	8400
p16:	3000	11200
p17:	3000	11200
p18:	3000	11200
p19:	3000	11200
p20:	3000	14000
p21:	3000	14000
p22:	3000	14000
p23:	3000	14000
p24:	3000	16800
p25:	3000	16800
p26:	3000	16800
p27:	3000	16800
p28:	3000	19600
p29:	3000	19600
p30:	3000	19600
p31:	3000	19600
p32:	3000	22400
p33:	3000	22400
p34:	3000	22400
p35:	3000	22400
p36:	3000	25200
p37:	3000	25200
p38:	3000	25200
p39:	3000	25200
p40:	3000	28000
p41:	3000	28000
p42:	3000	28000
p43:	3000	28000
p44:	3000	30800
p45:	3000	30800
p46:	3000	30800
p47:	3000	30800
p48:	3000	33600
p49:	3000	33600
Total Elapsed Time:	39550
Average Wait Time:	16128

SRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	3000	0
p1:	3000	56950
p2:	3000	65900
p3:	3000	68850
p4:	3000	2800
p5:	3000	5750
p6:	3000	11700
p7:	3000	14650
p8:	3000	20600
p9:	3000	23550
p10:	3000	29500
p11:	3000	32450
p12:	3000	38400
p13:	3000	41350
p14:	3000	47300
p15:	3000	50250
p16:	3000	92200
p17:	3000	59150
p18:	3000	98100
p19:	3000	44050
p20:	3000	74000
p21:	3000	115950
p22:	3000	121900
p23:	3000	7850
p24:	3000	61800
p25:	3000	139750
p26:	3000	16700
p27:	3000	145650
p28:	3000	79600
p29:	3000	25550
p30:	3000	85500
p31:	3000	34450
p32:	3000	103400
p33:	3000	109350
p34:	3000	52300
p35:	3000	127250
p36:	3000	133200
p37:	3000	70150
p38:	3000	76100
p39:	3000	82050
p40:	3000	88000
p41:	3000	93950
p42:	3000	99900
p43:	3000	105850
p44:	3000	111800
p45:	3000	117750
p46:	3000	123700
p47:	3000	129650
p48:	3000	135600
p49:	3000	141550
Total Elapsed Time:	150490
Average Wait Time:	72275

SRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	3000	0
p1:	3000	0
p2:	3000	0
p3:	3000	0
p4:	3000	2800
p5:	3000	5750
p6:	3000	2800
p7:	3000	14800
p8:	3000	29750
p9:	3000	11550
p10:	3000	8500
p11:	3000	23550
p12:	3000	17400
p13:	3000	14350
p14:	3000	26450
p15:	3000	11400
p16:	3000	5350
p17:	3000	23200
p18:	3000	35100
p19:	3000	17150
p20:	3000	8100
p21:	3000	8000
p22:	3000	26000
p23:	3000	4900
p24:	3000	19950
p25:	3000	10800
p26:	3000	10800
p27:	3000	28750
p28:	3000	1750
p29:	3000	13600
p30:	3000	13600
p31:	3000	16600
p32:	3000	31550
p33:	3000	31450
p34:	3000	19350
p35:	3000	25300
p36:	3000	28250
p37:	3000	19150
p38:	3000	22100
p39:	3000	25050
p40:	3000	16050
p41:	3000	1000
p42:	3000	4000
p43:	3000	7000
p44:	3000	30800
p45:	3000	33800
p46:	3000	18800
p47:	3000	21800
p48:	3000	27600
p49:	3000	30600
Total Elapsed Time:	39550
Average Wait Time:	16128

LRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	3000	146959
p1:	3000	146917
p2:	3000	146891
p3:	3000	146839
p4:	3000	146783
p5:	3000	146702
p6:	3000	146680
p7:	3000	146627
p8:	3000	146597
p9:	3000	146518
p10:	3000	146460
p11:	3000	146437
p12:	3000	146351
p13:	3000	146314
p14:	3000	146296
p15:	3000	146234
p16:	3000	146158
p17:	3000	146111
p18:	3000	146062
p19:	3000	146029
p20:	3000	145974
p21:	3000	145915
p22:	3000	145882
p23:	3000	145822
p24:	3000	145753
p25:	3000	145704
p26:	3000	145693
p27:	3000	145621
p28:	3000	145556
p29:	3000	145505
p30:	3000	145494
p31:	3000	145420
p32:	3000	145369
p33:	3000	145307
p34:	3000	145276
p35:	3000	145213
p36:	3000	145192
p37:	3000	145138
p38:	3000	145081
p39:	3000	145025
p40:	3000	144986
p41:	3000	144949
p42:	3000	144866
p43:	3000	144823
p44:	3000	144778
p45:	3000	144735
p46:	3000	144690
p47:	3000	144645
p48:	3000	144598
p49:	3000	144550
Total Elapsed Time:	1625480
Average Wait Time:	145750

LRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	3000	34568
p1:	3000	34525
p2:	3000	34464
p3:	3000	34423
p4:	3000	34374
p5:	3000	34316
p6:	3000	34266
p7:	3000	34217
p8:	3000	34174
p9:	3000	34122
p10:	3000	34072
p11:	3000	34022
p12:	3000	33964
p13:	3000	33918
p14:	3000	33871
p15:	3000	33822
p16:	3000	33765
p17:	3000	33723
p18:	3000	33673
p19:	3000	33617
p20:	3000	33573
p21:	3000	33521
p22:	3000	33470
p23:	3000	33415
p24:	3000	33367
p25:	3000	33318
p26:	3000	33271
p27:	3000	33216
p28:	3000	33166
p29:	3000	33120
p30:	3000	33067
p31:	3000	33020
p32:	3000	32969
p33:	3000	32914
p34:	3000	32869
p35:	3000	32825
p36:	3000	32774
p37:	3000	32713
p38:	3000	32669
p39:	3000	32615
p40:	3000	32564
p41:	3000	32518
p42:	3000	32474
p43:	3000	32421
p44:	3000	32375
p45:	3000	32319
p46:	3000	32270
p47:	3000	32213
p48:	3000	32165
p49:	3000	32125
Total Elapsed Time:	1439375
Average Wait Time:	33344

